Date,Sev2,Sev3,Sev4,To Verify,Total Open Defects,Total Bugs
2012-07-01,5,139,61,76,205,2011
2012-07-02,4,128,61,79,193,2011
2012-07-03,5,131,63,79,199,2018
2012-07-04,5,131,64,79,200,2019
2012-07-05,5,132,63,79,200,2019
2012-07-06,6,151,63,84,220,2044
2012-07-07,6,151,63,84,220,2044
2012-07-08,6,149,63,85,218,2044
2012-07-09,3,149,62,107,214,2067
2012-07-10,3,150,64,107,217,2073
2012-07-11,1,138,65,125,204,2077
2012-07-12,1,140,64,126,205,2079
2012-07-13,1,141,64,126,206,2081
2012-07-14,1,141,64,126,206,2081
2012-07-15,1,141,64,126,206,2081
2012-07-16,1,145,64,123,210,2084
2012-07-17,0,147,63,133,210,2094
2012-07-18,0,152,63,134,215,2101
2012-07-19,1,163,65,134,229,2116
2012-07-20,1,177,68,124,246,2130
2012-07-21,1,177,68,124,246,2130
2012-07-22,1,177,69,124,247,2130
2012-07-23,1,185,67,106,253,2142
2012-07-24,1,186,67,120,254,2162
2012-07-25,1,173,69,131,243,2164
2012-07-26,0,190,60,150,250,2192
2012-07-27,0,190,60,157,250,2199
2012-07-28,0,189,60,158,249,2199
2012-07-29,0,191,60,159,251,2203
2012-07-30,1,191,58,168,250,2217
2012-07-31,1,190,58,155,249,2226
2012-08-01,0,180,60,160,240,2230
2012-08-02,1,167,58,175,226,2237
2012-08-03,0,165,59,176,224,2244
2012-08-04,0,150,56,194,206,2245
2012-08-05,0,150,56,194,206,2245
2012-08-06,0,143,47,207,190,2250
2012-08-07,0,149,47,178,196,2260
2012-08-08,0,119,48,209,167,2264
2012-08-09,1,116,45,231,162,2280
2012-08-10,1,114,51,243,166,2298
2012-08-11,1,114,51,243,166,2298
2012-08-12,1,115,53,234,169,2298
2012-08-13,1,113,51,252,165,2313
2012-08-14,0,114,49,261,163,2320
2012-08-15,0,107,47,270,154,2370
2012-08-16,0,107,50,204,157,2375
2012-08-17,0,105,50,180,155,2378
2012-08-18,0,100,48,180,148,2378
2012-08-19,0,100,48,180,148,2378
2012-08-20,0,110,49,179,159,2394
2012-08-21,1,118,52,157,171,2408
2012-08-22,1,122,54,155,177,2414
2012-08-23,0,94,55,189,149,2423
2012-08-24,0,92,51,199,143,2430
2012-08-25,0,92,51,199,143,2430
2012-08-26,0,95,51,199,146,2433
2012-08-27,0,84,43,218,127,2435
2012-08-28,0,84,42,223,126,2441
2012-08-29,0,75,41,234,116,2447
2012-08-30,0,70,39,235,109,2446
2012-08-31,0,69,38,243,107,2451
2012-09-01,0,69,38,243,107,2451
2012-09-02,0,70,40,223,110,2452
2012-09-03,0,78,45,182,123,2454
2012-09-04,0,79,45,183,124,2456
